ANO,SEXO,EDAD,POPULATION
2018,Total,NA,36414521
2018,Hombres,NA,17450356
2018,Mujeres,NA,18964165
2018,Hombres,0,267725
2018,Hombres,1,271659
2018,Hombres,2,275579
2018,Hombres,3,279172
2018,Hombres,4,282059
2018,Hombres,5,284726
2018,Hombres,6,288053
2018,Hombres,7,291880
2018,Hombres,8,295932
2018,Hombres,9,299857
2018,Hombres,10,303787
2018,Hombres,11,307960
2018,Hombres,12,308600
2018,Hombres,13,308921
2018,Hombres,14,308508
2018,Hombres,15,309013
2018,Hombres,16,309651
2018,Hombres,17,312341
2018,Hombres,18,311464
2018,Hombres,19,311626
2018,Hombres,20,312571
2018,Hombres,21,314681
2018,Hombres,22,316457
2018,Hombres,23,317727
2018,Hombres,24,316270
2018,Hombres,25,311156
2018,Hombres,26,304416
2018,Hombres,27,297294
2018,Hombres,28,289727
2018,Hombres,29,282227
2018,Hombres,30,273730
2018,Hombres,31,267924
2018,Hombres,32,262868
2018,Hombres,33,259141
2018,Hombres,34,256726
2018,Hombres,35,253976
2018,Hombres,36,250172
2018,Hombres,37,246544
2018,Hombres,38,240499
2018,Hombres,39,233169
2018,Hombres,40,224143
2018,Hombres,41,216740
2018,Hombres,42,208217
2018,Hombres,43,203021
2018,Hombres,44,200216
2018,Hombres,45,198572
2018,Hombres,46,197598
2018,Hombres,47,197618
2018,Hombres,48,197431
2018,Hombres,49,197105
2018,Hombres,50,194984
2018,Hombres,51,194052
2018,Hombres,52,191353
2018,Hombres,53,188829
2018,Hombres,54,185112
2018,Hombres,55,180222
2018,Hombres,56,173949
2018,Hombres,57,166605
2018,Hombres,58,158491
2018,Hombres,59,151310
2018,Hombres,60,144139
2018,Hombres,61,137827
2018,Hombres,62,131008
2018,Hombres,63,125316
2018,Hombres,64,119163
2018,Hombres,65,112959
2018,Hombres,66,106877
2018,Hombres,67,101105
2018,Hombres,68,95248
2018,Hombres,69,89659
2018,Hombres,70,83989
2018,Hombres,71,78212
2018,Hombres,72,72246
2018,Hombres,73,66950
2018,Hombres,74,62232
2018,Hombres,75,58328
2018,Hombres,76,54902
2018,Hombres,77,51503
2018,Hombres,78,47956
2018,Hombres,79,44318
2018,Hombres,80,40491
2018,Hombres,81,36428
2018,Hombres,82,32598
2018,Hombres,83,29328
2018,Hombres,84,26280
2018,Hombres,85,23432
2018,Hombres,86,20531
2018,Hombres,87,17905
2018,Hombres,88,15344
2018,Hombres,89,13101
2018,Hombres,90,10869
2018,Hombres,91,8754
2018,Hombres,92,6944
2018,Hombres,93,5380
2018,Hombres,94,4157
2018,Hombres,95,3185
2018,Hombres,96,2387
2018,Hombres,97,1772
2018,Hombres,98,1303
2018,Hombres,99,994
2018,Hombres,100,3880
2018,Mujeres,0,254961
2018,Mujeres,1,259756
2018,Mujeres,2,263118
2018,Mujeres,3,266313
2018,Mujeres,4,269609
2018,Mujeres,5,272563
2018,Mujeres,6,276055
2018,Mujeres,7,279396
2018,Mujeres,8,283374
2018,Mujeres,9,287406
2018,Mujeres,10,291740
2018,Mujeres,11,296246
2018,Mujeres,12,297202
2018,Mujeres,13,298219
2018,Mujeres,14,299635
2018,Mujeres,15,302119
2018,Mujeres,16,304723
2018,Mujeres,17,308827
2018,Mujeres,18,313178
2018,Mujeres,19,317186
2018,Mujeres,20,320927
2018,Mujeres,21,321558
2018,Mujeres,22,322506
2018,Mujeres,23,323518
2018,Mujeres,24,322371
2018,Mujeres,25,318788
2018,Mujeres,26,313173
2018,Mujeres,27,306505
